Common Name,Scientific Name,num_papers,Group
Pink Sand-verbena,Abronia umbellata,0,Flowering Plants
Blackline Prickleback,Acantholumpenus mackayi,0,Fishes
Cooper's Hawk,Accipiter cooperii,0,Birds
Northern Goshawk atricapillus subspecies,Accipiter gentilis atricapillus,4,Birds
Sharp-shinned Hawk,Accipiter striatus,1,Birds
Large-headed Woolly Yarrow,Achillea millefolium var. megacephala,0,Flowering Plants
Shortnose Sturgeon,Acipenser brevirostrum,0,Fishes
Lake Sturgeon,Acipenser fulvescens,1,Fishes
Green Sturgeon,Acipenser medirostris,0,Fishes
Atlantic Sturgeon,Acipenser oxyrinchus,0,Fishes
White Sturgeon,Acipenser transmontanus,0,Fishes
Blanchard's Cricket Frog,Acris blanchardi,0,Amphibians
Chiselmouth,Acrocheilus alutaceus,0,Fishes
Rocky Mountain Capshell,Acroloxus coloradensis,0,Snails
Mountain Crab-eye,Acroscyphus sphaerophoroides,0,Lichens
Tall Bugbane,Actaea elata,0,Flowering Plants
Pacific Pond Turtle,Actinemys marmorata,0,Reptiles
Southern Maidenhair Fern,Adiantum capillus-veneris,0,Ferns and Allies
Western Grebe,Aechmophorus occidentalis,0,Birds
Northern Saw-whet Owl brooksi subspecies,Aegolius acadicus brooksi,1,Birds
Boreal Owl,Aegolius funereus,1,Birds
Red-tailed Leafhopper,Aflexia rubranura,0,Insects
Rough Agalinis,Agalinis aspera,0,Flowering Plants
Gattinger's Agalinis,Agalinis gattingeri,0,Flowering Plants
Skinner's Agalinis,Agalinis skinneriana,0,Flowering Plants
Dwarf Wedgemussel,Alasmidonta heterodon,0,Clams
Brook Floater,Alasmidonta varicosa,0,Clams
Colicroot,Aletris farinosa,0,Flowering Plants
Broad-banded Forestsnail,Allogona profunda,0,Snails
Oregon Forestsnail,Allogona townsendiana,0,Snails
Y-Prickleback,Allolumpenus hypochromus,0,Fishes
Blueback Herring,Alosa aestivalis,0,Fishes
Thorny Skate,Amblyraja radiata,0,Fishes
Northwestern Salamander,Ambystoma gracile,0,Amphibians
Jefferson Salamander,Ambystoma jeffersonianum,2,Amphibians
Unisexual Ambystoma,Ambystoma laterale - (2) jeffersonianum,1,Amphibians
Long-toed Salamander,Ambystoma macrodactylum,0,Amphibians
Western Tiger Salamander,Ambystoma mavortium,0,Amphibians
Small-mouthed Salamander,Ambystoma texanum,0,Amphibians
Eastern Tiger Salamander,Ambystoma tigrinum,0,Amphibians
Scarlet Ammannia,Ammannia robusta,0,Flowering Plants
Eastern Sand Darter,Ammocrypta pellucida,1,Fishes
Baird's Sparrow,Ammodramus bairdii,3,Birds
Henslow's Sparrow,Ammodramus henslowii,0,Birds
Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,2,Birds
"Grasshopper Sparrow, pratensis subspecies",Ammodramus savannarum pratensis,2,Birds
Northern Wolffish,Anarhichas denticulatus,0,Fishes
Atlantic Wolffish,Anarhichas lupus,0,Fishes
Spotted Wolffish,Anarhichas minor,0,Fishes
Bering Wolffish,Anarhichas orientalis,0,Fishes
Wolf-eel,Anarrhichthys ocellatus,0,Fishes
Edwards' Beach Moth,Anarta edwardsii,0,Insects
Western Toad,Anaxyrus boreas,2,Amphibians
Great Plains Toad,Anaxyrus cognatus,1,Amphibians
Fowler's Toad,Anaxyrus fowleri,2,Amphibians
Wandering Salamander,Aneides vagrans,0,Amphibians
American Eel,Anguilla rostrata,0,Fishes
Western Banded Tigersnail,Anguispira kochi occidentalis,0,Snails
Manitoba Oakworm Moth,Anisota manitobensis,0,Insects
Stoloniferous Pussytoes,Antennaria flagellaris,0,Flowering Plants
Sprague's Pipit,Anthus spragueii,2,Birds
Eastern Whip-poor-will,Antrostomus vociferus,2,Birds
Pallid Bat,Antrozous pallidus,0,Mammals
Black-foam Lichen,Anzia colpodes,0,Lichens
Spiny Softshell,Apalone spinifera,0,Reptiles
Mountain Beaver,Aplodontia rufa,0,Mammals
Mormon Metalmark,Apodemia mormo,0,Insects
Spike-lip Crater,Appalachina sayana,0,Snails
Brown Cat Shark,Apristurus brunneus,0,Fishes
Golden Eagle,Aquila chrysaetos,5,Birds
Great Blue Heron fannini subspecies,Ardea herodias fannini,1,Birds
Pink-footed Shearwater,Ardenna creatopus,0,Birds
Vivid Dancer,Argia vivida,0,Insects
Green Dragon,Arisaema dracontium,0,Flowering Plants
Forked Three-awned Grass,Aristida basiramea,0,Flowering Plants
Athabasca Thrift,Armeria maritima ssp. interior,0,Flowering Plants
Griscom’s Arnica,Arnica griscomii ssp. griscomii,0,Flowering Plants
Tuberous Indian-plantain,Arnoglossum plantagineum,0,Flowering Plants
Wood's Sagebrush,Artemisia rupestris ssp. woodii,0,Flowering Plants
Rocky Mountain Tailed Frog,Ascaphus montanus,0,Amphibians
Coastal Tailed Frog,Ascaphus truei,0,Amphibians
Four-leaved Milkweed,Asclepias quadrifolia,0,Flowering Plants
Spinynose Sculpin,Asemichthys taylori,0,Fishes
Short-eared Owl,Asio flammeus,1,Birds
American Hart's-tongue Fern,Asplenium scolopendrium var. americanum,0,Ferns and Allies
Fernald's Milk-vetch,Astragalus robbinsii var. fernaldii,0,Flowering Plants
Burrowing Owl,Athene cunicularia,2,Birds
Smooth Yellow False Foxglove,Aureolaria flava,0,Flowering Plants
Fern-leaved Yellow False Foxglove,Aureolaria pedicularia,0,Flowering Plants
Downy Yellow False Foxglove,Aureolaria virginica,0,Flowering Plants
Mexican Mosquito-fern,Azolla mexicana,0,Ferns and Allies
Eastern Baccharis,Baccharis halimifolia,0,Flowering Plants
Bowhead Whale,Balaena mysticetus,1,Mammals
Common Minke Whale North Pacific subspecies,Balaenoptera acutorostrata scammonii,0,Mammals
Sei Whale,Balaenoptera borealis,1,Mammals
Blue Whale,Balaenoptera musculus,1,Mammals
Fin Whale,Balaenoptera physalus,4,Mammals
Deltoid Balsamroot,Balsamorhiza deltoidea,0,Flowering Plants
Atlantic Mud-piddock,Barnea truncata,0,Clams
Branched Bartonia,Bartonia paniculata ssp. paniculata,0,Flowering Plants
Rigid Apple Moss,Bartramia aprica,0,Mosses
Haller's Apple Moss,Bartramia halleriana,0,Mosses
Sandpaper Skate,Bathyraja interrupta,0,Fishes
Baird's Beaked Whale,Berardius bairdii,0,Mammals
Cherry Birch,Betula lenta,0,Flowering Plants
Vancouver Island Beggarticks,Bidens amplissima,0,Flowering Plants
Plains Bison,Bison bison bison,0,Mammals
Quebec Rockcress,Boechera quebecensis,0,Flowering Plants
Rusty-patched Bumble Bee,Bombus affinis,0,Insects
Gypsy Cuckoo Bumble Bee,Bombus bohemicus,0,Insects
Western Bumble Bee occidentalis subspecies,Bombus occidentalis occidentalis,0,Insects
American Bumble Bee,Bombus pensylvanicus,0,Insects
Suckley’s Cuckoo Bumble Bee,Bombus suckleyi,0,Insects
Yellow-banded Bumble Bee,Bombus terricola,0,Insects
Buffalograss,Bouteloua dactyloides,0,Flowering Plants
Marbled Murrelet,Brachyramphus marmoratus,4,Birds
Fernald's Braya,Braya fernaldii,0,Flowering Plants
Long's Braya,Braya longii,0,Flowering Plants
Hairy Braya,Braya pilosa,0,Flowering Plants
Large-flowered Brickellia,Brickellia grandiflora,0,Flowering Plants
Cusk,Brosme brosme,1,Fishes
Roell's Brotherella Moss,Brotherella roellii,0,Mosses
Hungerford's Crawling Water Beetle,Brychius hungerfordi,0,Insects
Spoon-leaved Moss,Bryoandersonia illecebra,0,Mosses
Columbian Carpet Moss,Bryoerythrophyllum columbianum,0,Mosses
Snowy Owl,Bubo scandiaca,0,Birds
Barrow's Goldeneye,Bucephala islandica,0,Birds
Bluehearts,Buchnera americana,0,Flowering Plants
Canadian Toad,Bufo hemiophrys,0,Amphibians
Red-tailed Hawk,Buteo jamaicensis,2,Birds
Rough-legged Hawk,Buteo lagopus,1,Birds
Red-shouldered Hawk,Buteo lineatus,2,Birds
Ferruginous Hawk,Buteo regalis,0,Birds
Lark Bunting,Calamospiza melanocorys,0,Birds
Chestnut-collared Longspur,Calcarius ornatus,3,Birds
Red Knot rufa subspecies,Calidris canutus rufa,0,Birds
Frosted Elfin,Callophrys irus,1,Insects
Northern Fur Seal,Callorhinus ursinus,0,Mammals
Lyall's Mariposa Lily,Calochortus lyallii,0,Flowering Plants
Wild Hyacinth,Camassia scilloides,0,Flowering Plants
Contorted-pod Evening-primrose,Camissonia contorta,0,Flowering Plants
Central Stoneroller,Campostoma anomalum,0,Fishes
Labrador Duck,Camptorhynchus labradorius,0,Birds
Arctic Grey Wolf,Canis lupus arctos,1,Mammals
Eastern Wolf,Canis sp. cf. lycaon,0,Mammals
White Shark,Carcharodon carcharias,4,Fishes
Canada Warbler,Cardellina canadensis,3,Birds
Loggerhead Sea Turtle,Caretta caretta,3,Reptiles
Juniper Sedge,Carex juniperorum,0,Flowering Plants
False Hop Sedge,Carex lupuliformis,0,Flowering Plants
Nebraska Sedge,Carex nebrascensis,0,Flowering Plants
Baikal Sedge,Carex sabulosa,0,Flowering Plants
Foothill Sedge,Carex tumulicola,0,Flowering Plants
American Chestnut,Castanea dentata,0,Flowering Plants
Golden Paintbrush,Castilleja levisecta,0,Flowering Plants
Cliff Paintbrush,Castilleja rupicola,0,Flowering Plants
Hairy Paintbrush,Castilleja tenuis,0,Flowering Plants
Victoria's Owl-clover,Castilleja victoriae,0,Flowering Plants
Bicknell's Thrush,Catharus bicknelli,2,Birds
Canyon Wren,Catherpes mexicanus,0,Birds
Mountain Sucker,Catostomus platyrhynchus,0,Fishes
Salish Sucker,Catostomus sp. cf. catostomus,0,Fishes
Dwarf Hackberry,Celtis tenuifolia,0,Flowering Plants
Muhlenberg's Centaury,Centaurium muehlenbergii,0,Flowering Plants
Greater Sage-Grouse urophasianus subspecies,Centrocercus urophasianus urophasianus,2,Birds
Phantom Orchid,Cephalanthera austiniae,0,Flowering Plants
Basking Shark,Cetorhinus maximus,0,Fishes
Flexuous Golden Stubble Lichen,Chaenotheca servitii,0,Lichens
Chimney Swift,Chaetura pelagica,1,Birds
Piping Plover,Charadrius melodus,3,Birds
Mountain Plover,Charadrius montanus,1,Birds
Northern Rubber Boa,Charina bottae,0,Reptiles
Snapping Turtle,Chelydra serpentina,2,Reptiles
Smooth Goosefoot,Chenopodium subglabrum,0,Flowering Plants
Spotted Wintergreen,Chimaphila maculata,0,Flowering Plants
Black Tern,Chlidonias niger,1,Birds
Common Nighthawk,Chordeiles minor,6,Birds
Eastern Painted Turtle,Chrysemys picta picta,0,Reptiles
Gibson's Big Sand Tiger Beetle,Cicindela formosa gibsoni,0,Insects
Cobblestone Tiger Beetle,Cicindela marginipennis,1,Insects
Wallis' Dark Saltflat Tiger Beetle,Cicindela parowana wallisi,0,Insects
Northern Barrens Tiger Beetle,Cicindela patruela,0,Insects
Victorin's Water-hemlock,Cicuta maculata var. victorinii,0,Flowering Plants
Northern Harrier,Circus cyaneus,1,Birds
Hill's Thistle,Cirsium hillii,0,Flowering Plants
Pitcher's Thistle,Cirsium pitcheri,0,Flowering Plants
Sedge Wren,Cistothorus platensis,1,Birds
Spotted Turtle,Clemmys guttata,0,Reptiles
Sweet Pepperbush,Clethra alnifolia,0,Flowering Plants
Redside Dace,Clinostomus elongatus,1,Fishes
Nine-spotted Lady Beetle,Coccinella novemnotata,0,Insects
Transverse Lady Beetle,Coccinella transversoguttata,0,Insects
Evening Grosbeak,Coccothraustes vespertinus,2,Birds
Maritime Ringlet,Coenonympha nipisiquit,0,Insects
Northern Bobwhite,Colinus virginianus,4,Birds
Crumpled Tarpaper Lichen,Collema coniophilum,0,Lichens
Spring Blue-eyed Mary,Collinsia verna,0,Flowering Plants
Slender Collomia,Collomia tenella,0,Flowering Plants
Western Yellow-bellied Racer,Coluber constrictor mormon,0,Reptiles
Sharp-tailed Snake,Contia tenuis,0,Reptiles
Olive-sided Flycatcher,Contopus cooperi,5,Birds
Eastern Wood-pewee,Contopus virens,2,Birds
Columbia Dune Moth,Copablepharon absidum,0,Insects
Sand-verbena Moth,Copablepharon fuscum,0,Insects
Pale Yellow Dune Moth,Copablepharon grandis,0,Insects
Dusky Dune Moth,Copablepharon longipenne,0,Insects
Longjaw Cisco,Coregonus alpenae,0,Fishes
Lake Whitefish,Coregonus clupeaformis,1,Fishes
Bloater,Coregonus hoyi,0,Fishes
Atlantic Whitefish,Coregonus huntsmani,0,Fishes
Deepwater Cisco,Coregonus johannae,0,Fishes
Kiyi,Coregonus kiyi,1,Fishes
Bering Cisco,Coregonus laurettae,0,Fishes
European Whitefish,Coregonus lavaretus,0,Fishes
Blackfin Cisco,Coregonus nigripinnis,0,Fishes
Shortnose Cisco,Coregonus reighardi,0,Fishes
Spring Cisco,Coregonus sp.,0,Fishes
Shortjaw Cisco,Coregonus zenithicus,0,Fishes
Pink Coreopsis,Coreopsis rosea,0,Flowering Plants
Eastern Flowering Dogwood,Cornus florida,0,Flowering Plants
Scouler's Corydalis,Corydalis scouleri,0,Flowering Plants
Roundnose Grenadier,Coryphaenoides rupestris,0,Fishes
Coastrange Sculpin,Cottus aleuticus,0,Fishes
Shorthead Sculpin,Cottus confusus,0,Fishes
Columbia Sculpin,Cottus hubbsi,0,Fishes
Spoonhead Sculpin,Cottus ricei,1,Fishes
Rocky Mountain Sculpin,Cottus sp.,0,Fishes
Yellow Rail,Coturnicops noveboracensis,4,Birds
Lake Chub,Couesius plumbeus,0,Fishes
Tiny Tassel,Crossidium seriatum,0,Mosses
Timber Rattlesnake,Crotalus horridus,0,Reptiles
Western Rattlesnake,Crotalus oreganus,0,Reptiles
Prairie Rattlesnake,Crotalus viridis,0,Reptiles
Tiny Cryptantha,Cryptantha minima,0,Flowering Plants
Puget Oregonian,Cryptomastix devia,0,Snails
Lumpfish,Cyclopterus lumpus,0,Fishes
Trumpeter Swan,Cygnus buccinator,0,Birds
Black-tailed Prairie Dog,Cynomys ludovicianus,0,Mammals
Small White Lady's-slipper,Cypripedium candidum,0,Flowering Plants
Black Swift,Cypseloides niger,0,Birds
Hooded Seal,Cystophora cristata,0,Mammals
Hairy Prairie-clover,Dalea villosa,0,Flowering Plants
Dalton’s Moss,Daltonia splachnoides,0,Mosses
Monarch,Danaus plexippus,2,Insects
Blue Felt Lichen,Degelia plumbea,0,Lichens
Beluga Whale,Delphinapterus leucas,0,Mammals
Short-beaked Common Dolphin,Delphinus delphis,1,Mammals
Leatherback Sea Turtle,Dermochelys coriacea,1,Reptiles
Evening Fieldslug,Deroceras hesperium,0,Snails
Mackenzie Hairgrass,Deschampsia mackenzieana,0,Flowering Plants
Illinois Tick-trefoil,Desmodium illinoense,0,Flowering Plants
Northern Dusky Salamander,Desmognathus fuscus,0,Amphibians
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,0,Amphibians
Coastal Giant Salamander,Dicamptodon tenebrosus,0,Amphibians
Yellow Scarab Hunter Wasp,Dielis pilipes,0,Insects
Ord's Kangaroo Rat,Dipodomys ordii,0,Mammals
Barndoor Skate,Dipturus laevis,0,Fishes
Bobolink,Dolichonyx oryzivorus,0,Birds
Long-stalked Whitlow-grass,Draba juvenilis,0,Flowering Plants
Puvirnituq Mountain Draba,Draba puvirnituqii,0,Flowering Plants
Yukon Draba,Draba yukonensis,0,Flowering Plants
Thread-leaved Sundew,Drosera filiformis,0,Flowering Plants
Coastal Wood Fern,Dryopteris arguta,0,Ferns and Allies
Passenger Pigeon,Ectopistes migratorius,0,Birds
Okanagan Efferia,Efferia okanagana,0,Insects
Purple Spikerush,Eleocharis atropurpurea,0,Ferns and Allies
Horsetail Spike-rush,Eleocharis equisetoides,0,Ferns and Allies
Bent Spike-rush,Eleocharis geniculata,0,Ferns and Allies
Tubercled Spike-rush,Eleocharis tuberculosa,0,Ferns and Allies
Northern Alligator Lizard,Elgaria coerulea,0,Reptiles
Acadian Flycatcher,Empidonax virescens,3,Birds
Grey Flycatcher,Empidonax wrightii,0,Birds
Blanding's Turtle,Emydoidea blandingii,0,Reptiles
False Rue-anemone,Enemion biternatum,1,Flowering Plants
Sea Otter,Enhydra lutris,2,Mammals
Ensatina,Ensatina eschscholtzii,0,Amphibians
Schleicher's Silk Moss,Entodon schleicheri,0,Mosses
Vancouver Lamprey,Entosphenus macrostomus,0,Fishes
Banded Cord-moss,Entosthodon fascicularis,0,Mosses
Rusty Cord-moss,Entosthodon rubiginosus,0,Mosses
Macropis Cuckoo Bee,Epeoloides pilosulus,0,Insects
Dense Spike-primrose,Epilobium densiflorum,0,Flowering Plants
Brook Spike-primrose,Epilobium torreyi,0,Flowering Plants
Northern Riffleshell,Epioblasma rangiana,1,Clams
Snuffbox mussel,Epioblasma triquetra,0,Clams
Giant Helleborine,Epipactis gigantea,0,Flowering Plants
Streaked Horned Lark,Eremophila alpestris strigata,0,Birds
Rabbit-brush Goldenweed,Ericameria bloomeri,0,Flowering Plants
Leiberg's Fleabane,Erigeron leibergii,0,Flowering Plants
Provancher's Fleabane,Erigeron philadelphicus var. provancheri,0,Flowering Plants
Dwarf Fleabane,Erigeron radicatus,0,Flowering Plants
Bearded Seal,Erignathus barbatus,0,Mammals
Gravel Chub,Erimystax x-punctatus,0,Fishes
Lake Chubsucker,Erimyzon sucetta,0,Fishes
Parker's Pipewort,Eriocaulon parkeri,0,Flowering Plants
Vole Ears Lichen,Erioderma mollissimum,1,Lichens
Boreal Felt Lichen,Erioderma pedicellatum,1,Lichens
Yukon Wild Buckwheat,Eriogonum flavum var. aquilinum,0,Flowering Plants
Mottled Duskywing,Erynnis martialis,0,Insects
Eastern Persius Duskywing,Erynnis persius persius,0,Insects
Narrow-leaved Wallflower,Erysimum angustatum,0,Flowering Plants
Grey Whale,Eschrichtius robustus,0,Mammals
Grass Pickerel,Esox americanus vermiculatus,0,Fishes
Chain Pickerel,Esox niger,0,Fishes
Greenside Darter,Etheostoma blennioides,0,Fishes
Least Darter,Etheostoma microperca,0,Fishes
Tessellated Darter,Etheostoma olmstedi,0,Fishes
North Atlantic Right Whale,Eubalaena glacialis,3,Mammals
North Pacific Right Whale,Eubalaena japonica,1,Mammals
Island Marble,Euchloe ausonides insulanus,0,Insects
Spotted Bat,Euderma maculatum,0,Mammals
Steller Sea Lion,Eumetopias jubatus,0,Mammals
Rusty Blackbird,Euphagus carolinus,4,Birds
Taylor's Checkerspot,Euphydryas editha taylori,0,Insects
Dun Skipper vestris subspecies,Euphyes vestris vestris,0,Insects
White Wood Aster,Eurybia divaricata,0,Flowering Plants
Cutlip Minnow,Exoglossum maxillingua,0,Fishes
Silver Hair Moss,Fabronia pusilla,0,Mosses
Merlin,Falco columbarius,0,Birds
Prairie Falcon,Falco mexicanus,0,Birds
Peregrine Falcon anatum subspecies,Falco peregrinus anatum,0,Birds
Gyrfalcon,Falco rusticolus,0,Birds
Shortface Lanx,Fisherola nuttallii,0,Snails
Pygmy Pocket Moss,Fissidens exilis,0,Mosses
Poor Pocket Moss,Fissidens pauperculus,0,Mosses
False Mermaid,Floerkea proserpinacoides,0,Flowering Plants
American Columbo,Frasera caroliniensis,0,Flowering Plants
Black Ash,Fraxinus nigra,0,Flowering Plants
Blue Ash,Fraxinus quadrangulata,0,Flowering Plants
American Coot,Fulica americana,1,Birds
Banded Killifish,Fundulus diaphanus,0,Fishes
Blackstripe Topminnow,Fundulus notatus,0,Fishes
White-rimmed Shingle Lichen,Fuscopannaria leucosticta,0,Lichens
Atlantic Cod,Gadus morhua,5,Fishes
Tope,Galeorhinus galeus,0,Fishes
Paxton Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,1,Fishes
Yellow-billed Loon,Gavia adamsii,0,Birds
Common Loon,Gavia immer,0,Birds
White Prairie Gentian,Gentiana alba,0,Flowering Plants
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,0,Flowering Plants
Plains Pocket Gopher,Geomys bursarius,0,Mammals
Dune Tachinid Fly,Germaria angustata,0,Insects
Eastern Mountain Avens,Geum peckii,0,Flowering Plants
Southern Flying Squirrel,Glaucomys volans,3,Mammals
Short-finned Pilot Whale,Globicephala macrorhynchus,0,Mammals
Long-finned Pilot Whale,Globicephala melas,0,Mammals
Wood Turtle,Glyptemys insculpta,1,Reptiles
Georgia Basin Bog Spider,Gnaphosa snohomish,0,Arachnids
Skillet Clubtail,Gomphus ventricosus,0,Insects
Rocky Mountain Ridged Mussel,Gonidea angulata,0,Clams
Island Tiger Moth,Grammia complicata,0,Insects
Risso's Dolphin,Grampus griseus,1,Mammals
Northern Map Turtle,Graptemys geographica,0,Reptiles
Whooping Crane,Grus americana,2,Birds
Sandhill Crane tabida subspecies,Grus canadensis tabida,0,Birds
Wolverine,Gulo gulo,5,Mammals
Kentucky Coffee-tree,Gymnocladus dioicus,0,Flowering Plants
Spring Salamander,Gyrinophilus porphyriticus,0,Amphibians
Okanogan Stickseed,Hackelia ciliata,0,Flowering Plants
Bald Eagle,Haliaeetus leucocephalus,3,Birds
Grey Seal,Halichoerus grypus,0,Mammals
Slender Mouse-ear-cress,Halimolobos virgata,0,Flowering Plants
Northern Abalone,Haliotis kamtschatkana,0,Snails
Reversed Haploa Moth,Haploa reversa,0,Insects
Porsild's Bryum,Haplodontium macrocarpum,0,Mosses
Four-toed Salamander,Hemidactylium scutatum,0,Amphibians
Nuttall's Sheep Moth,Hemileuca nuttalli,0,Insects
Bogbean Buckmoth,Hemileuca sp.,0,Insects
Dromedary Jumping-slug,Hemphillia dromedarius,0,Snails
Warty Jumping-slug,Hemphillia glandulosa,0,Snails
Oregon Branded Skipper,Hesperia colorado oregonia,0,Insects
Dakota Skipper,Hesperia dacotae,0,Insects
Ottoe Skipper,Hesperia ottoe,0,Insects
Dwarf Hesperochiron,Hesperochiron pumilus,0,Flowering Plants
Seaside Centipede Lichen,Heterodermia sitchensis,0,Lichens
Plains Hog-nosed Snake,Heterodon nasicus,0,Reptiles
Eastern Hog-nosed Snake,Heterodon platirhinos,0,Reptiles
Bluntnose Sixgill Shark,Hexanchus griseus,0,Fishes
Swamp Rose-mallow,Hibiscus moscheutos,0,Flowering Plants
American Plaice,Hippoglossoides platessoides,0,Fishes
Atlantic Halibut,Hippoglossus hippoglossus,0,Fishes
Barn Swallow,Hirundo rustica,4,Birds
Harlequin Duck,Histrionicus histrionicus,0,Birds
Little Barley,Hordeum pusillum,0,Flowering Plants
Western Silvery Minnow,Hybognathus argyritis,0,Fishes
Plains Minnow,Hybognathus placitus,0,Fishes
Eastern Silvery Minnow,Hybognathus regius,0,Fishes
Goldenseal,Hydrastis canadensis,0,Flowering Plants
Water Pennywort,Hydrocotyle umbellata,0,Flowering Plants
Cope's Grey Treefrog,Hyla chrysoscelis,1,Amphibians
Wood Thrush,Hylocichla mustelina,3,Birds
Northern Bottlenose Whale,Hyperoodon ampullatus,0,Mammals
Greenish-white Grasshopper,Hypochlora alba,0,Insects
Seaside Bone Lichen,Hypogymnia heterophylla,0,Lichens
Desert Nightsnake,Hypsiglena chlorophaea,0,Reptiles
Chestnut Lamprey,Ichthyomyzon castaneus,0,Fishes
Northern Brook Lamprey,Ichthyomyzon fossor,0,Fishes
Silver Lamprey,Ichthyomyzon unicuspis,0,Fishes
Yellow-breasted Chat virens subspecies,Icteria virens virens,2,Birds
Bigmouth Buffalo,Ictiobus cyprinellus,0,Fishes
Black Buffalo,Ictiobus niger,0,Fishes
Shagreen,Inflectarius inflectus,0,Snails
Dwarf Lake Iris,Iris lacustris,0,Flowering Plants
Western Blue Flag,Iris missouriensis,0,Flowering Plants
Bolander's Quillwort,Isoetes bolanderi,0,Ferns and Allies
Engelmann's Quillwort,Isoetes engelmannii,0,Ferns and Allies
Columbia Quillwort,Isoetes minima,0,Ferns and Allies
Prototype Quillwort,Isoetes prototypus,0,Ferns and Allies
Delicate Luster Moss,Isopterygium tenerum,0,Mosses
Small Whorled Pogonia,Isotria medeoloides,0,Flowering Plants
Large Whorled Pogonia,Isotria verticillata,0,Flowering Plants
Shortfin Mako,Isurus oxyrinchus,0,Fishes
Least Bittern,Ixobrychus exilis,4,Birds
Butternut,Juglans cinerea,0,Flowering Plants
New Jersey Rush,Juncus caesariensis,0,Flowering Plants
Kellogg's Rush,Juncus kelloggii,0,Flowering Plants
American Water-willow,Justicia americana,0,Flowering Plants
